	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ACTA1	92.6711299623472	84.4760788436969	50.7652975635152	48.1888473778137	39.7858487903611	57.9115123781591	45.7112819682054	88.2622536826394
ACTA2	500.424101796675	480.12353671924	234.685473982152	241.83662295162	211.171043579609	144.333307773258	168.300629064756	161.814131751506
ACTB	50599.7151819238	45836.2926536085	35278.5529346717	35918.5390177222	28902.8889212438	50599.5157306583	49094.9557266246	48454.6399648951
ACTBL2	100.340464855783	87.68403120485	16.6443598568902	13.3857909382816	19.8929243951805	55.238673345321	49.866853056224	48.1430474632579
ACTC1	9.58666861679454	7.48522217602378	5.82552594991158	9.81624668807315	9.18134972085255	12.4732488199112	11.4278204920513	6.68653436989692
ACTG1	58359.1647603573	55419.5156738263	47582.8959588778	49157.9786417452	42679.5041773831	55430.2268093411	54268.6417312078	54230.468353612
ACTG2	0	2.13863490743537	4.16108996422256	2.67715818765631	3.06044990695085	2.67283903283811	3.116678316014	2.67461374795877
ACTL10	0.639111241119636	3.20795236115305	3.32887197137805	0.892386062552105	0	1.78189268855874	1.03889277200467	2.67461374795877
ACTL6A	2752.65211550227	2525.72782568117	2113.00148383222	2050.70317174474	2179.04033374901	2655.02010595253	2555.67621913148	2540.88306056083
ACTL6B	3.83466744671782	3.20795236115305	2.49665397853354	2.67715818765631	0	3.56378537711748	2.07778554400933	2.67461374795877
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	0.639111241119636	0	0.832217992844512	0	0	1.78189268855874	0	2.67461374795877
ACTL8	19.1733372335891	25.6636188892244	6.6577439427561	2.67715818765631	3.06044990695085	24.9464976398224	16.6222843520747	18.7222962357114
ACTL9	0	0	0	0	0	0.890946344279371	0	0
ACTN1	2378.13292820617	2417.72676285568	2061.40396827586	2304.14081350953	2146.90560972602	2169.45434832027	2233.61945981003	2235.97709329353
ACTN2	742.008150939897	641.59047223061	546.767221298844	530.07732115595	491.202210065611	408.944372024231	397.895931677788	465.382792144826
ACTN3	1.91733372335891	1.06931745371768	0.832217992844512	3.56954425020842	1.53022495347543	0.890946344279371	0	5.34922749591754
ACTN4	6428.81997442242	5953.95958230006	4266.78164931381	4517.25824863875	3834.74373340942	5444.57310989124	5296.27535167979	5571.22043699812
ACTR10	1476.34696698636	1427.53880071311	1364.00529027216	1258.26434819847	1368.02110840703	1539.55528291475	1509.51119772278	1469.70025450334
ACTR1A	3748.38742916666	3657.06569171448	3357.16738313476	3521.35540283061	3172.15632855456	4073.40668604529	3903.12014442153	3855.45571768257
ACTR1B	1447.58696113598	1583.65914895589	1649.45606181782	1733.01373347619	1511.86225403372	1397.00386783005	1361.98842409812	1539.24021195027
ACTR2	9505.50148917234	9353.31976766857	8296.38117066694	7669.16582157279	9716.92845456895	9844.06615794277	9944.28161362867	9607.2125826679
ACTR3	4668.06850513782	4706.06611381152	4565.54790874499	4340.56580825344	4841.63175279625	4571.44569249745	4502.56127386823	4303.45352046566
ACTR3B	483.807209527564	436.281521116815	458.552114057326	438.161556713083	400.918937810561	661.973133799573	686.708122295085	696.73688134326
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	15.9777810279909	8.55453962974146	9.15439792128963	9.81624668807315	9.18134972085255	29.4012293612193	28.050104844126	13.3730687397938
ACTR3C	32.5946732971014	36.3567934264012	18.3087958425793	13.3857909382816	19.8929243951805	28.5102830169399	25.9723193001167	16.0476824877526
ACTR5	487.002765733163	474.776949450651	321.236145237982	317.689438268549	299.924090881183	453.4916892382	402.051502765806	405.203982815754
ACTR6	1091.60199983234	1040.44588246731	1129.31981629	1130.65314125352	1406.27673224392	1168.03065735026	1154.20986969719	1063.15896481361
ACTR8	860.88284178815	919.613010197207	766.472771409796	732.648957355278	795.716975807221	822.34347576986	841.50314532378	797.034896891713
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACVR1	399.444525699772	421.311076764767	445.236626171814	437.269170650531	495.792884926038	430.327084286936	420.75157266189	433.287427169321
ACVR1B	1510.2198627657	1510.94556210309	1264.97134912366	1326.97807501498	1299.16098550064	1554.7013707675	1526.13348207486	1594.06979378343
ACVR1C	152.747586627593	161.46693551137	264.645321724555	265.038660577975	347.361064438922	153.242771216052	171.41730738077	148.441063011712
